minute,second,team,playerName,type,outcomeType,x,y,endX,endY
8,16.0,Real Madrid,Cristiano Ronaldo,TakeOn,Successful,88.7,17.0,,
8,16.0,Barcelona,Javier Mascherano,Challenge,Unsuccessful,11.3,83.0,,
8,19.0,Real Madrid,Cristiano Ronaldo,Pass,Unsuccessful,97.4,28.3,97.7,45.2
8,20.0,Barcelona,Claudio Bravo,Interception,Successful,1.7,53.9,,
8,21.0,Barcelona,Ivan Rakitic,BallRecovery,Successful,16.0,51.2,,
8,22.0,Barcelona,Ivan Rakitic,Pass,Successful,16.6,53.9,18.8,76.6
8,25.0,Barcelona,Jordi Alba,Pass,Successful,24.0,86.9,32.1,95.9
8,27.0,Barcelona,Neymar,Pass,Successful,32.1,95.9,34.9,88.3
8,31.0,Barcelona,Jordi Alba,Pass,Successful,44.0,90.9,43.5,80.9
8,33.0,Barcelona,Neymar,Pass,Successful,47.0,70.2,46.6,34.2
8,41.0,Barcelona,Dani Alves,Pass,Successful,68.8,20.3,69.7,4.3
8,46.0,Barcelona,Sergi Roberto,Pass,Successful,70.9,10.1,60.8,11.6
8,49.0,Barcelona,Ivan Rakitic,Pass,Successful,59.9,14.9,47.3,27.9
8,51.0,Barcelona,Gerard Piqué,Pass,Successful,47.7,33.0,44.6,52.1
8,53.0,Barcelona,Javier Mascherano,Pass,Successful,45.1,52.5,56.5,61.7
8,57.0,Real Madrid,James Rodríguez,Challenge,Unsuccessful,35.5,45.0,,
8,57.0,Barcelona,Andrés Iniesta,TakeOn,Successful,64.5,55.0,,
9,0.0,Barcelona,Andrés Iniesta,Pass,Successful,64.2,41.8,68.6,4.0
9,4.0,Barcelona,Dani Alves,Pass,Unsuccessful,76.1,7.1,86.2,31.6
9,5.0,Real Madrid,Sergio Ramos,Clearance,Successful,15.0,68.8,31.9,74.2
9,8.0,Barcelona,Ivan Rakitic,Pass,Successful,69.6,31.3,68.8,37.3
9,9.0,Barcelona,Andrés Iniesta,Pass,Successful,68.8,37.3,63.3,28.2
9,11.0,Barcelona,Sergio Busquets,Pass,Successful,63.9,25.3,73.9,25.9
9,13.0,Barcelona,Sergi Roberto,Pass,Successful,73.9,25.9,63.8,26.7
9,17.0,Barcelona,Sergio Busquets,Pass,Successful,65.6,17.0,69.7,2.6
9,19.0,Barcelona,Dani Alves,Pass,Successful,68.0,5.0,58.9,15.2
9,23.0,Barcelona,Sergio Busquets,Pass,Successful,58.5,24.9,52.1,56.9
9,25.0,Barcelona,Javier Mascherano,Pass,Successful,52.5,58.7,64.2,60.6
9,26.0,Barcelona,Andrés Iniesta,Pass,Successful,64.2,60.6,54.1,40.1
9,28.0,Barcelona,Sergio Busquets,Pass,Successful,54.1,40.1,44.0,23.7
