id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390963535.0,9,16.0,ManchesterUnited,a,Dispossessed,Successful,77.5,7.2,,
2390963541.0,9,16.0,ManchesterCity,h,Tackle,Successful,22.5,92.8,,
2390963651.0,9,22.0,ManchesterUnited,a,Pass,Successful,65.3,0.0,48.2,11.6
2390963705.0,9,26.0,ManchesterUnited,a,Pass,Successful,48.2,14.9,36.3,42.5
2390963779.0,9,30.0,ManchesterUnited,a,Pass,Successful,35.2,48.5,39.5,94.8
2390963841.0,9,35.0,ManchesterUnited,a,Pass,Successful,40.2,95.4,30.4,80.9
2390963901.0,9,39.0,ManchesterUnited,a,Pass,Successful,28.1,82.1,9.5,51.9
2390963961.0,9,43.0,ManchesterUnited,a,Pass,Successful,7.6,46.3,15.8,32.7
2390963977.0,9,47.0,ManchesterUnited,a,Pass,Successful,23.0,25.0,38.2,31.9
2390964097.0,9,49.0,ManchesterUnited,a,Foul,Successful,39.1,33.0,,
2390964007.0,9,49.0,ManchesterCity,h,Foul,Unsuccessful,60.9,67.0,,
2390964537.0,10,17.0,ManchesterUnited,a,Pass,Unsuccessful,46.2,31.0,75.7,46.1
2390964575.0,10,19.0,ManchesterCity,h,Pass,Successful,24.7,53.6,33.6,54.0
2390964593.0,10,20.0,ManchesterCity,h,Pass,Successful,33.5,54.0,20.4,68.2
2390964597.0,10,22.0,ManchesterCity,h,BallRecovery,Successful,20.5,67.8,,
2390964655.0,10,24.0,ManchesterCity,h,Pass,Successful,15.7,70.3,32.4,73.3
2390964671.0,10,25.0,ManchesterCity,h,Pass,Successful,32.5,73.0,24.5,70.9
2390964719.0,10,26.0,ManchesterCity,h,Pass,Successful,24.5,70.9,22.2,91.2
2390964751.0,10,30.0,ManchesterCity,h,Pass,Successful,14.6,92.4,8.1,85.7
2390964767.0,10,31.0,ManchesterCity,h,Pass,Unsuccessful,8.8,85.3,39.8,88.1
2390964793.0,10,33.0,ManchesterUnited,a,Pass,Unsuccessful,63.6,9.1,77.5,16.4
2390964859.0,10,34.0,ManchesterCity,h,Pass,Unsuccessful,22.7,79.3,37.7,100.0
2390965003.0,10,40.0,ManchesterUnited,a,Pass,Successful,55.9,0.0,36.5,21.2
2390965069.0,10,43.0,ManchesterUnited,a,Pass,Successful,36.4,22.5,34.6,39.8
2390965133.0,10,48.0,ManchesterUnited,a,Pass,Successful,38.3,65.5,43.0,98.0
2390965217.0,10,50.0,ManchesterUnited,a,Pass,Successful,39.4,96.8,14.6,60.8
2390965329.0,10,56.0,ManchesterUnited,a,Pass,Successful,8.2,47.8,15.9,27.7
2390965413.0,11,1.0,ManchesterUnited,a,Pass,Successful,29.2,18.2,37.5,3.1
2390965431.0,11,7.0,ManchesterUnited,a,Pass,Successful,41.1,11.3,47.4,2.5
2390965463.0,11,8.0,ManchesterUnited,a,Pass,Successful,47.4,2.5,65.5,1.4
2390965567.0,11,11.0,ManchesterUnited,a,Pass,Successful,66.7,1.4,79.1,13.5
2390965603.0,11,17.0,ManchesterUnited,a,Pass,Successful,90.2,11.9,85.8,42.4
2390965641.0,11,19.0,ManchesterUnited,a,Pass,Successful,84.6,42.2,81.2,28.9
2390965643.0,11,20.0,ManchesterUnited,a,Dispossessed,Successful,82.8,29.4,,
2390965879.0,11,20.0,ManchesterCity,h,Tackle,Successful,17.2,70.6,,
